CATEGORIA,SUBCATEGORIA,Ano,Producao,Comercio
DERIVADOS,Espumante moscatel,2015,110100,0
DERIVADOS,Base espumante,2015,0,0
DERIVADOS,Base espumante moscatel,2015,1607727,0
DERIVADOS,Base Champenoise champanha,2015,605001,0
DERIVADOS,Base Charmat champanha,2015,1466259,0
DERIVADOS,Bebida de uva,2015,922,0
DERIVADOS,Polpa de uva,2015,2371140,0
DERIVADOS,Mosto simples,2015,100911592,0
DERIVADOS,Mosto concentrado,2015,0,0
DERIVADOS,Mosto de uva com bagaço,2015,0,0
DERIVADOS,Mosto dessulfitado,2015,0,0
DERIVADOS,Mistelas,2015,0,0
DERIVADOS,Néctar de uva,2015,1000,0
DERIVADOS,Licorosos,2015,0,0
DERIVADOS,Compostos,2015,0,0
DERIVADOS,Jeropiga,2015,0,0
DERIVADOS,Filtrado,2015,0,0
DERIVADOS,Frisante,2015,0,0
DERIVADOS,Vinho leve,2015,0,0
DERIVADOS,Vinho licoroso,2015,56000,0
DERIVADOS,Brandy,2015,0,0
DERIVADOS,Destilado,2015,0,0
DERIVADOS,Bagaceira,2015,1350,0
DERIVADOS,Licor de bagaceira,2015,0,0
DERIVADOS,Vinagre,2015,25800,0
DERIVADOS,Borra líquida,2015,48833,0
DERIVADOS,Borra seca,2015,120230,0
DERIVADOS,Vinho Composto,2015,0,0
DERIVADOS,Pisco,2015,0,0
DERIVADOS,Vinho orgânico,2015,0,0
DERIVADOS,Espumante orgânico,2015,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2015,0,0
DERIVADOS,Vinho acidificado,2015,0,0
DERIVADOS,Mosto parcialmente fermentado,2015,0,0
DERIVADOS,Outros derivados,2015,0,0
VINHO DE MESA,VINHO DE MESA,2016,86319015,166769622
VINHO DE MESA,Tinto,2016,75279191,146646365
VINHO DE MESA,Branco,2016,10727099,18731315
VINHO DE MESA,Rosado,2016,312725,1391942
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2016,18070626,0
VINHO FINO DE MESA,Tinto,2016,8774847,0
VINHO FINO DE MESA,Branco,2016,8705066,0
VINHO FINO DE MESA,Rosado,2016,590713,0
SUCO,SUCO,2016,42210389,0
SUCO,Suco de uva integral,2016,31117869,0
SUCO,Suco de uva concentrado,2016,11092520,0
SUCO,Suco de uva adoçado,2016,0,0
SUCO,Suco de uva orgânico,2016,0,0
SUCO,Suco de uva reconstituído,2016,0,0
DERIVADOS,DERIVADOS,2016,53950314,0
DERIVADOS,Espumante,2016,1500,0
DERIVADOS,Espumante moscatel,2016,100000,0
DERIVADOS,Base espumante,2016,0,0
DERIVADOS,Base espumante moscatel,2016,1325700,0
DERIVADOS,Base Champenoise champanha,2016,740395,0
DERIVADOS,Base Charmat champanha,2016,250280,0
DERIVADOS,Bebida de uva,2016,3474,0
DERIVADOS,Polpa de uva,2016,1620430,0
DERIVADOS,Mosto simples,2016,49770993,0
DERIVADOS,Mosto concentrado,2016,0,0
DERIVADOS,Mosto de uva com bagaço,2016,0,0
DERIVADOS,Mosto dessulfitado,2016,0,0
DERIVADOS,Mistelas,2016,0,0
DERIVADOS,Néctar de uva,2016,0,0
DERIVADOS,Licorosos,2016,0,0
DERIVADOS,Compostos,2016,0,0
DERIVADOS,Jeropiga,2016,0,0
DERIVADOS,Filtrado,2016,0,0
DERIVADOS,Frisante,2016,0,0
DERIVADOS,Vinho leve,2016,0,0
DERIVADOS,Vinho licoroso,2016,24200,0
DERIVADOS,Brandy,2016,0,0
DERIVADOS,Destilado,2016,0,0
DERIVADOS,Bagaceira,2016,1000,0
DERIVADOS,Licor de bagaceira,2016,0,0
DERIVADOS,Vinagre,2016,5000,0
DERIVADOS,Borra líquida,2016,24975,0
DERIVADOS,Borra seca,2016,82367,0
DERIVADOS,Vinho Composto,2016,0,0
DERIVADOS,Pisco,2016,0,0
DERIVADOS,Vinho orgânico,2016,0,0
DERIVADOS,Espumante orgânico,2016,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2016,0,0
DERIVADOS,Vinho acidificado,2016,0,0
DERIVADOS,Mosto parcialmente fermentado,2016,0,0
DERIVADOS,Outros derivados,2016,0,0
VINHO DE MESA,VINHO DE MESA,2017,255015187,176059959
VINHO DE MESA,Tinto,2017,1365957,154309442
VINHO DE MESA,Branco,2017,217527985,20653091
VINHO DE MESA,Rosado,2017,36121245,1097426
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2017,44537870,0
VINHO FINO DE MESA,Tinto,2017,21442212,0
VINHO FINO DE MESA,Branco,2017,21928400,0
VINHO FINO DE MESA,Rosado,2017,1167258,0
SUCO,SUCO,2017,77161971,0
SUCO,Suco de uva integral,2017,46865626,0
SUCO,Suco de uva concentrado,2017,30059271,0
SUCO,Suco de uva adoçado,2017,177774,0
SUCO,Suco de uva orgânico,2017,0,0
SUCO,Suco de uva reconstituído,2017,59300,0
DERIVADOS,DERIVADOS,2017,109116761,0
DERIVADOS,Espumante,2017,11280,0
DERIVADOS,Espumante moscatel,2017,152375,0
DERIVADOS,Base espumante,2017,0,0
DERIVADOS,Base espumante moscatel,2017,1965629,0
DERIVADOS,Base Champenoise champanha,2017,1552403,0
DERIVADOS,Base Charmat champanha,2017,893364,0
DERIVADOS,Bebida de uva,2017,0,0
DERIVADOS,Polpa de uva,2017,2507125,0
DERIVADOS,Mosto simples,2017,101010116,0
DERIVADOS,Mosto concentrado,2017,0,0
DERIVADOS,Mosto de uva com bagaço,2017,772110,0
DERIVADOS,Mosto dessulfitado,2017,0,0
DERIVADOS,Mistelas,2017,1500,0
DERIVADOS,Néctar de uva,2017,3000,0
DERIVADOS,Licorosos,2017,110820,0
DERIVADOS,Compostos,2017,0,0
DERIVADOS,Jeropiga,2017,0,0
DERIVADOS,Filtrado,2017,0,0
DERIVADOS,Frisante,2017,0,0
DERIVADOS,Vinho leve,2017,0,0
DERIVADOS,Vinho licoroso,2017,110820,0
DERIVADOS,Brandy,2017,0,0
DERIVADOS,Destilado,2017,0,0
DERIVADOS,Bagaceira,2017,900,0
DERIVADOS,Licor de bagaceira,2017,0,0
DERIVADOS,Vinagre,2017,25319,0
DERIVADOS,Borra líquida,2017,0,0
DERIVADOS,Borra seca,2017,0,0
DERIVADOS,Vinho Composto,2017,0,0
DERIVADOS,Pisco,2017,0,0
DERIVADOS,Vinho orgânico,2017,0,0
DERIVADOS,Espumante orgânico,2017,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2017,0,0
DERIVADOS,Vinho acidificado,2017,0,0
DERIVADOS,Mosto parcialmente fermentado,2017,0,0
DERIVADOS,Outros derivados,2017,0,0
VINHO DE MESA,VINHO DE MESA,2018,218375636,177186273
VINHO DE MESA,Tinto,2018,188270142,155115499
VINHO DE MESA,Branco,2018,29229970,20097830
VINHO DE MESA,Rosado,2018,875524,1972944
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2018,38707220,0
VINHO FINO DE MESA,Tinto,2018,19118254,0
VINHO FINO DE MESA,Branco,2018,18297257,0
VINHO FINO DE MESA,Rosado,2018,1291709,0
SUCO,SUCO,2018,65467906,0
SUCO,Suco de uva integral,2018,34367996,0
SUCO,Suco de uva concentrado,2018,31099910,0
SUCO,Suco de uva adoçado,2018,0,0
SUCO,Suco de uva orgânico,2018,0,0
SUCO,Suco de uva reconstituído,2018,0,0
DERIVADOS,DERIVADOS,2018,95202101,0
DERIVADOS,Espumante,2018,68500,0
DERIVADOS,Espumante moscatel,2018,326200,0
DERIVADOS,Base espumante,2018,0,0
DERIVADOS,Base espumante moscatel,2018,1320650,0
DERIVADOS,Base Champenoise champanha,2018,228518,0
DERIVADOS,Base Charmat champanha,2018,1746540,0
DERIVADOS,Bebida de uva,2018,0,0
DERIVADOS,Polpa de uva,2018,2112683,0
DERIVADOS,Mosto simples,2018,88910980,0
DERIVADOS,Mosto concentrado,2018,0,0
DERIVADOS,Mosto de uva com bagaço,2018,0,0
DERIVADOS,Mosto dessulfitado,2018,0,0
DERIVADOS,Mistelas,2018,2000,0
DERIVADOS,Néctar de uva,2018,0,0
DERIVADOS,Licorosos,2018,0,0
DERIVADOS,Compostos,2018,0,0
DERIVADOS,Jeropiga,2018,0,0
DERIVADOS,Filtrado,2018,0,0
DERIVADOS,Frisante,2018,0,0
DERIVADOS,Vinho leve,2018,8000,0
DERIVADOS,Vinho licoroso,2018,124303,0
DERIVADOS,Brandy,2018,0,0
DERIVADOS,Destilado,2018,680,0
DERIVADOS,Bagaceira,2018,2100,0
DERIVADOS,Licor de bagaceira,2018,0,0
DERIVADOS,Vinagre,2018,25367,0
DERIVADOS,Borra líquida,2018,255100,0
DERIVADOS,Borra seca,2018,70480,0
DERIVADOS,Vinho Composto,2018,0,0
DERIVADOS,Pisco,2018,0,0
DERIVADOS,Vinho orgânico,2018,0,0
DERIVADOS,Espumante orgânico,2018,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2018,0,0
DERIVADOS,Vinho acidificado,2018,0,0
DERIVADOS,Mosto parcialmente fermentado,2018,0,0
DERIVADOS,Outros derivados,2018,0,0
VINHO DE MESA,VINHO DE MESA,2019,144629737,180446489
VINHO DE MESA,Tinto,2019,121045115,158519218
VINHO DE MESA,Branco,2019,22032828,20661836
VINHO DE MESA,Rosado,2019,1551794,1265435
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2019,37615422,0
VINHO FINO DE MESA,Tinto,2019,17389377,0
VINHO FINO DE MESA,Branco,2019,18193055,0
VINHO FINO DE MESA,Rosado,2019,2032990,0
SUCO,SUCO,2019,77805352,0
SUCO,Suco de uva integral,2019,50239767,0
SUCO,Suco de uva concentrado,2019,26861009,0
SUCO,Suco de uva adoçado,2019,120320,0
SUCO,Suco de uva orgânico,2019,0,0
SUCO,Suco de uva reconstituído,2019,584256,0
DERIVADOS,DERIVADOS,2019,142888747,0
DERIVADOS,Espumante,2019,52176,0
DERIVADOS,Espumante moscatel,2019,515800,0
DERIVADOS,Base espumante,2019,0,0
DERIVADOS,Base espumante moscatel,2019,1962443,0
