id_Comercio,control_Comercio,Produto,Ano,Quantidade_Comercio,Categoria,Subcategoria,id_Producao,control_Producao,produto,Quantidade_Producao
,,,2010,0.0,Derivados,Outros derivados,51.0,de_Outros derivados,Outros derivados,0.0
,,,2010,0.0,Derivados,Pisco,45.0,de_Pisco,Pisco,0.0
,,,2010,0.0,Derivados,Polpa de uva,23.0,de_Polpa de uva,Polpa de uva,1951606.0
,,,2010,0.0,Derivados,Vinagre,41.0,de_Vinagre,Vinagre,5817.0
,,,2010,0.0,Derivados,Vinho Composto,44.0,de_Vinho Composto,Vinho Composto,0.0
,,,2010,0.0,Derivados,Vinho acidificado,49.0,de_Vinho acidificado ,Vinho acidificado ,0.0
,,,2010,0.0,Derivados,Vinho leve,35.0,de_Vinho leve,Vinho leve,0.0
,,,2010,0.0,Derivados,Vinho licoroso,36.0,de_Vinho licoroso,Vinho licoroso,15000.0
,,,2010,0.0,Derivados,Vinho orgânico,46.0,de_Vinho orgânico,Vinho orgânico,0.0
17.0,es_Espumante,  Espumante,2010,9701727.0,Espumantes,Espumante,,,,0.0
16.0,es_Espumante_Moscatel,  Espumante  Moscatel,2010,2946179.0,Espumantes,Espumante  Moscatel,,,,0.0
18.0,es_Espumante Orgânico,  Espumante Orgânico,2010,0.0,Espumantes,Espumante Orgânico,,,,0.0
28.0,ou_Agrin,"  Agrin (fermentado, acetico misto)",2010,6852708.0,Outros Produtos Comercializados,"Agrin (fermentado, acetico misto)",,,,0.0
29.0,ou_Aguardente,  Aguardente de vinho 50°gl,2010,0.0,Outros Produtos Comercializados,Aguardente de vinho 50°gl,,,,0.0
30.0,ou_Alcool_vinico,  Alcool vinico,2010,0.0,Outros Produtos Comercializados,Alcool vinico,,,,0.0
31.0,ou_Bagaceira,  Bagaceira (graspa),2010,16413.0,Outros Produtos Comercializados,Bagaceira (graspa),,,,0.0
32.0,ou_Base_champenoise,  Base champenoise champanha,2010,11.0,Outros Produtos Comercializados,Base champenoise champanha,,,,0.0
33.0,ou_Base_charmat,  Base charmat champanha,2010,42847.0,Outros Produtos Comercializados,Base charmat champanha,,,,0.0
34.0,ou_Base_espumante,  Base espumante moscatel,2010,18418.0,Outros Produtos Comercializados,Base espumante moscatel,,,,0.0
35.0,ou_Bebida,  Bebida de uva,2010,763368.0,Outros Produtos Comercializados,Bebida de uva,,,,0.0
36.0,ou_Borra_liqwuida,  Borra líquida,2010,13000.0,Outros Produtos Comercializados,Borra líquida,,,,0.0
37.0,ou_Borra_seca,  Borra seca,2010,46000.0,Outros Produtos Comercializados,Borra seca,,,,0.0
