Id,País,2009_Quantidade,2009_Valor,2010_Quantidade,2010_Valor,2011_Quantidade,2011_Valor,2012_Quantidade,2012_Valor,2013_Quantidade,2013_Valor,2014_Quantidade,2014_Valor,2015_Quantidade,2015_Valor,2016_Quantidade,2016_Valor,2017_Quantidade,2017_Valor,2018_Quantidade,2018_Valor,2019_Quantidade,2019_Valor,2020_Quantidade,2020_Valor,2021_Quantidade,2021_Valor,2022_Quantidade,2022_Valor,2023_Quantidade,2023_Valor,Categoria
83,Portugal,0.0,0.0,5387.0,17475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,11568.0,1552.0,23255.0,1288.0,15933.0,631.0,11065.0,21.0,135.0,56.0,612.0,2191,38616,Espumante
84,Quênia,0.0,0.0,0.0,0.0,0.0,0.0,80.0,483.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
85,Reino Unido,0.0,0.0,13501.0,55256.0,1980.0,8040.0,11896.0,66897.0,13900.0,73941.0,131483.0,607711.0,16511.0,97055.0,56615.0,223774.0,27700.0,101672.0,14626.0,72651.0,11049.0,54428.0,8084.0,42414.0,7130.0,45041.0,9305.0,53968.0,16057,86879,Espumante
86,Republica Dominicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
87,Republica Tcheca,395.0,900.0,0.0,0.0,526.0,2020.0,0.0,0.0,158.0,1755.0,7.0,66.0,23.0,278.0,94.0,532.0,207.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
88,Rússia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47765.0,18240.0,71654.0,27360.0,0.0,0.0,0.0,0.0,990.0,5280.0,0,0,Espumante
89,Serra Leoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,2140.0,225.0,1070.0,225.0,1165.0,271,1287,Espumante
90,Singapura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,2193.0,525.0,926.0,642.0,5235.0,209,599,Espumante
91,Suécia,2070.0,10950.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,6470.0,98.0,534.0,292.0,2190.0,140.0,352.0,298.0,1136.0,54.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
92,Suíça,0.0,0.0,0.0,0.0,3465.0,12250.0,3780.0,31080.0,1620.0,14014.0,10936.0,111259.0,1080.0,9648.0,270.0,2719.0,1890.0,16884.0,0.0,0.0,2704.0,8959.0,672.0,227.0,1074.0,4739.0,0.0,0.0,444,4474,Espumante
